name,fir_size,buffer_size,mac,result,max_error_e6,count,min_cycles,max_cycles,avg_cycles,min_nsec,max_nsec,avg_nsec,min_mac_per_cycle,max_mac_per_cycle,avg_mac_per_cycle,min_mac_per_nsec,max_mac_per_nsec,avg_mac_per_nsec
100 NOP,0,0,0,OK,0.000000e-6,9999.000000,91.000000,91.000000,91.000000,91.000000,91.000000,91.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1000 NOP,0,0,0,OK,0.000000e-6,9999.000000,991.000000,991.000000,991.000000,991.000000,991.000000,991.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FIR.basic,16,8,128,OK,0.119209e-6,7676.000000,590.000000,590.000000,590.000000,590.000000,590.000000,590.000000,0.216949,0.216949,0.216949,0.216949,0.216949,0.216949
FIR.basic_restrict,16,8,128,OK,0.119209e-6,7676.000000,590.000000,590.000000,590.000000,590.000000,590.000000,590.000000,0.216949,0.216949,0.216949,0.216949,0.216949,0.216949
FIR.basic_dual_bank,16,8,128,OK,0.119209e-6,7676.000000,590.000000,590.000000,590.000000,590.000000,590.000000,590.000000,0.216949,0.216949,0.216949,0.216949,0.216949,0.216949
FIR.basic_aligned,16,8,128,OK,0.119209e-6,7676.000000,590.000000,590.000000,590.000000,590.000000,590.000000,590.000000,0.216949,0.216949,0.216949,0.216949,0.216949,0.216949
FIR.basic_loop_cnt,16,8,128,OK,0.119209e-6,7676.000000,524.000000,524.000000,524.000000,524.000000,524.000000,524.000000,0.244275,0.244275,0.244275,0.244275,0.244275,0.244275
FIR.circular,16,8,128,OK,0.059605e-6,7676.000000,1599.000000,1599.000000,1599.000000,1599.000000,1599.000000,1599.000000,0.080050,0.080050,0.080050,0.080050,0.080050,0.080050
FIR.circular_opt,16,8,128,OK,0.119209e-6,7676.000000,360.000000,360.000000,360.000000,360.000000,360.000000,360.000000,0.355556,0.355556,0.355556,0.355556,0.355556,0.355556
FIR.lib,16,8,128,OK,0.119209e-6,7676.000000,231.000000,235.000000,231.000000,231.000000,235.000000,231.000000,0.544681,0.554113,0.554113,0.544681,0.554113,0.554113
FIR.basic,16,16,256,OK,0.119209e-6,3836.000000,998.000000,998.000000,998.000000,998.000000,998.000000,998.000000,0.256513,0.256513,0.256513,0.256513,0.256513,0.256513
FIR.basic_restrict,16,16,256,OK,0.119209e-6,3836.000000,998.000000,998.000000,998.000000,998.000000,998.000000,998.000000,0.256513,0.256513,0.256513,0.256513,0.256513,0.256513
FIR.basic_dual_bank,16,16,256,OK,0.119209e-6,3836.000000,998.000000,998.000000,998.000000,998.000000,998.000000,998.000000,0.256513,0.256513,0.256513,0.256513,0.256513,0.256513
FIR.basic_aligned,16,16,256,OK,0.119209e-6,3836.000000,998.000000,998.000000,998.000000,998.000000,998.000000,998.000000,0.256513,0.256513,0.256513,0.256513,0.256513,0.256513
FIR.basic_loop_cnt,16,16,256,OK,0.119209e-6,3836.000000,884.000000,884.000000,884.000000,884.000000,884.000000,884.000000,0.289593,0.289593,0.289593,0.289593,0.289593,0.289593
